family,domain,system,mean,sd,median,iqr,bootstrap_ci95_low,bootstrap_ci95_high,n,aggregate_metric
arrays_binary_search,arrays,code_only_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,7,faithfulness_mean
arrays_binary_search,arrays,full_method_v1,0.5179,0.3341,0.2500,0.6250,0.3393,0.7857,7,faithfulness_mean
arrays_binary_search,arrays,naive_concat_v1,0.9286,0.0668,0.8750,0.1250,0.8750,0.9821,7,faithfulness_mean
arrays_binary_search,arrays,text_only_v1,0.8571,0.0000,0.8571,0.0000,0.8571,0.8571,7,faithfulness_mean
arrays_max_subarray,arrays,code_only_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,7,faithfulness_mean
arrays_max_subarray,arrays,full_method_v1,0.9000,0.0000,0.9000,0.0000,0.9000,0.9000,7,faithfulness_mean
arrays_max_subarray,arrays,naive_concat_v1,0.6753,0.1214,0.7727,0.2272,0.5780,0.7402,7,faithfulness_mean
arrays_max_subarray,arrays,text_only_v1,0.7959,0.1909,0.6429,0.3571,0.6939,0.8980,7,faithfulness_mean
dp_knapsack_01,dp,code_only_v1,0.8333,0.0000,0.8333,0.0000,0.8333,0.8333,7,faithfulness_mean
dp_knapsack_01,dp,full_method_v1,0.8333,0.0000,0.8333,0.0000,0.8333,0.8333,7,faithfulness_mean
dp_knapsack_01,dp,naive_concat_v1,0.8333,0.0000,0.8333,0.0000,0.8333,0.8333,7,faithfulness_mean
dp_knapsack_01,dp,text_only_v1,0.8333,0.0000,0.8333,0.0000,0.8333,0.8333,7,faithfulness_mean
dp_longest_common_subsequence,dp,code_only_v1,0.8571,0.1336,0.7500,0.2500,0.7857,0.9643,7,faithfulness_mean
dp_longest_common_subsequence,dp,full_method_v1,0.2482,0.0601,0.2000,0.1125,0.2161,0.2964,7,faithfulness_mean
dp_longest_common_subsequence,dp,naive_concat_v1,0.5734,0.0219,0.5909,0.0409,0.5558,0.5851,7,faithfulness_mean
dp_longest_common_subsequence,dp,text_only_v1,0.5586,0.0037,0.5556,0.0069,0.5566,0.5615,7,faithfulness_mean
graph_bfs_shortest_path,graph,code_only_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,7,faithfulness_mean
graph_bfs_shortest_path,graph,full_method_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,7,faithfulness_mean
graph_bfs_shortest_path,graph,naive_concat_v1,0.8714,0.1604,1.0000,0.3000,0.7429,0.9571,7,faithfulness_mean
graph_bfs_shortest_path,graph,text_only_v1,0.6122,0.0509,0.5714,0.0953,0.5850,0.6395,7,faithfulness_mean
graph_dijkstra,graph,code_only_v1,0.9167,0.0000,0.9167,0.0000,0.9167,0.9167,7,faithfulness_mean
graph_dijkstra,graph,full_method_v1,0.9286,0.0000,0.9286,0.0000,0.9286,0.9286,7,faithfulness_mean
graph_dijkstra,graph,naive_concat_v1,0.9286,0.0000,0.9286,0.0000,0.9286,0.9286,7,faithfulness_mean
graph_dijkstra,graph,text_only_v1,0.9286,0.0000,0.9286,0.0000,0.9286,0.9286,7,faithfulness_mean
greedy_coin_change_canonical,greedy,code_only_v1,0.7500,0.0000,0.7500,0.0000,0.7500,0.7500,7,faithfulness_mean
greedy_coin_change_canonical,greedy,full_method_v1,0.7786,0.0267,0.8000,0.0500,0.7643,0.7929,7,faithfulness_mean
greedy_coin_change_canonical,greedy,naive_concat_v1,0.5357,0.0445,0.5000,0.0833,0.5119,0.5595,7,faithfulness_mean
greedy_coin_change_canonical,greedy,text_only_v1,0.5306,0.0382,0.5000,0.0714,0.5102,0.5612,7,faithfulness_mean
greedy_interval_scheduling,greedy,code_only_v1,0.7500,0.0000,0.7500,0.0000,0.7500,0.7500,7,faithfulness_mean
greedy_interval_scheduling,greedy,full_method_v1,0.7786,0.0267,0.8000,0.0500,0.7643,0.7929,7,faithfulness_mean
greedy_interval_scheduling,greedy,naive_concat_v1,0.7429,0.1648,0.8750,0.3083,0.6107,0.8310,7,faithfulness_mean
greedy_interval_scheduling,greedy,text_only_v1,0.5455,0.0000,0.5455,0.0000,0.5455,0.5455,7,faithfulness_mean
sorting_insertion_sort,sorting,code_only_v1,0.8333,0.0000,0.8333,0.0000,0.8333,0.8333,7,faithfulness_mean
sorting_insertion_sort,sorting,full_method_v1,0.8333,0.0000,0.8333,0.0000,0.8333,0.8333,7,faithfulness_mean
sorting_insertion_sort,sorting,naive_concat_v1,0.7951,0.0216,0.7778,0.0404,0.7836,0.8124,7,faithfulness_mean
sorting_insertion_sort,sorting,text_only_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,7,faithfulness_mean
sorting_merge_sort,sorting,code_only_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,7,faithfulness_mean
sorting_merge_sort,sorting,full_method_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,7,faithfulness_mean
sorting_merge_sort,sorting,naive_concat_v1,0.9805,0.0243,1.0000,0.0455,0.9610,0.9935,7,faithfulness_mean
sorting_merge_sort,sorting,text_only_v1,0.8214,0.2227,1.0000,0.4167,0.6428,0.9405,7,faithfulness_mean
trees_bst_insert,trees,code_only_v1,0.9429,0.0535,0.9000,0.1000,0.9143,0.9857,7,faithfulness_mean
trees_bst_insert,trees,full_method_v1,0.9571,0.0535,1.0000,0.1000,0.9143,0.9857,7,faithfulness_mean
trees_bst_insert,trees,naive_concat_v1,0.8000,0.0935,0.8750,0.1750,0.7250,0.8500,7,faithfulness_mean
trees_bst_insert,trees,text_only_v1,0.5736,0.0351,0.5455,0.0656,0.5549,0.6017,7,faithfulness_mean
trees_lowest_common_ancestor,trees,code_only_v1,0.8333,0.0000,0.8333,0.0000,0.8333,0.8333,7,faithfulness_mean
trees_lowest_common_ancestor,trees,full_method_v1,0.6667,0.0000,0.6667,0.0000,0.6667,0.6667,7,faithfulness_mean
trees_lowest_common_ancestor,trees,naive_concat_v1,0.6190,0.0446,0.5833,0.0834,0.5952,0.6548,7,faithfulness_mean
trees_lowest_common_ancestor,trees,text_only_v1,0.5519,0.0486,0.5909,0.0909,0.5130,0.5779,7,faithfulness_mean
